Title,Link,Date,Category
"Prayer for Peace, Memorial Day, 2025",https://www.whitehouse.gov/presidential-actions/2025/05/prayer-for-peace-memorial-day-2025/,24-May-25,"Presidential Actions, Proclamations"
"National Physical Fitness and Sports Month, 2025",https://www.whitehouse.gov/presidential-actions/2025/05/national-physical-fitness-and-sports-month-2025/,24-May-25,"Presidential Actions, Proclamations"
Deploying Advanced Nuclear Reactor Technologies for National Security,https://www.whitehouse.gov/presidential-actions/2025/05/deploying-advanced-nuclear-reactor-technologies-for-national-security/,23-May-25,"Presidential Actions, Executive Orders"
Ordering the Reform of the Nuclear Regulatory Commission,https://www.whitehouse.gov/presidential-actions/2025/05/ordering-the-reform-of-the-nuclear-regulatory-commission/,23-May-25,"Presidential Actions, Executive Orders"
Reforming Nuclear Reactor Testing at the Department of Energy,https://www.whitehouse.gov/presidential-actions/2025/05/reforming-nuclear-reactor-testing-at-the-department-of-energy/,23-May-25,"Presidential Actions, Executive Orders"
Reinvigorating the Nuclear Industrial Base,https://www.whitehouse.gov/presidential-actions/2025/05/reinvigorating-the-nuclear-industrial-base/,23-May-25,"Presidential Actions, Executive Orders"
Restoring Gold Standard Science,https://www.whitehouse.gov/presidential-actions/2025/05/restoring-gold-standard-science/,23-May-25,"Presidential Actions, Executive Orders"
"National Maritime Day, 2025",https://www.whitehouse.gov/presidential-actions/2025/05/national-maritime-day-2025/,22-May-25,"Presidential Actions, Proclamations"
President Donald J. Trump Signed S. 146 into Law,https://www.whitehouse.gov/presidential-actions/2025/05/president-donald-j-trump-signed-s-146-into-law/,19-May-25,"Presidential Actions, Proclamations"
"Armed Forces Day, 2025",https://www.whitehouse.gov/presidential-actions/2025/05/armed-forces-day-2025/,16-May-25,"Presidential Actions, Proclamations"
"Asian American and Pacific Islander Heritage Month, 2025",https://www.whitehouse.gov/presidential-actions/2025/05/asian-american-and-pacific-islander-heritage-month-2025/,16-May-25,"Presidential Actions, Proclamations"
"Jewish American Heritage Month, 2025",https://www.whitehouse.gov/presidential-actions/2025/05/jewish-american-heritage-month-2025/,16-May-25,"Presidential Actions, Proclamations"
Modifying Reciprocal Tariff Rates to Reflect Discussions with the People’s Republic of China,https://www.whitehouse.gov/presidential-actions/2025/05/modifying-reciprocal-tariff-rates-to-reflect-discussions-with-the-peoples-republic-of-china/,12-May-25,"Presidential Actions, Executive Orders"
"Peace Officers Memorial Day and Police Week, 2025",https://www.whitehouse.gov/presidential-actions/2025/05/peace-officers-memorial-day-and-police-week-2025/,12-May-25,"Presidential Actions, Proclamations"
Delivering Most-Favored-Nation Prescription Drug Pricing to American Patients,https://www.whitehouse.gov/presidential-actions/2025/05/delivering-most-favored-nation-prescription-drug-pricing-to-american-patients/,12-May-25,"Presidential Actions, Executive Orders"
Rescission of Useless Water Pressure Standards,https://www.whitehouse.gov/presidential-actions/2025/05/rescission-of-useless-water-pressure-standards/,09-May-25,"Presidential Actions, Presidential Memoranda"
Keeping Promises to Veterans and Establishing a National Center for Warrior Independence,https://www.whitehouse.gov/presidential-actions/2025/05/keeping-promises-to-veterans-and-establishing-a-national-center-for-warrior-independence/,09-May-25,"Presidential Actions, Executive Orders"
Protecting the Great Lakes from Invasive Carp,https://www.whitehouse.gov/presidential-actions/2025/05/protecting-the-great-lakes-from-invasive-carp/,09-May-25,"Presidential Actions, Presidential Memoranda"
Increasing Efficiency At the Office of the Federal Register,https://www.whitehouse.gov/presidential-actions/2025/05/increasing-efficiency-at-the-office-of-the-federal-register/,09-May-25,"Presidential Actions, Executive Orders"
"Military Spouse Day, 2025",https://www.whitehouse.gov/presidential-actions/2025/05/military-spouse-day-2025/,09-May-25,"Presidential Actions, Proclamations"
"Mother’s Day, 2025",https://www.whitehouse.gov/presidential-actions/2025/05/mothers-day-2025/,09-May-25,"Presidential Actions, Proclamations"
Fighting Overcriminalization in Federal Regulations,https://www.whitehouse.gov/presidential-actions/2025/05/fighting-overcriminalization-in-federal-regulations/,09-May-25,"Presidential Actions, Executive Orders"
Establishing Project Homecoming,https://www.whitehouse.gov/presidential-actions/2025/05/establishing-project-homecoming/,09-May-25,"Presidential Actions, Proclamations"
"Victory Day for World War II, 2025",https://www.whitehouse.gov/presidential-actions/2025/05/vcitory-day-for-world-war-ii-2025/,08-May-25,"Presidential Actions, Proclamations"
"National Foster Care Month, 2025",https://www.whitehouse.gov/presidential-actions/2025/05/national-foster-care-month-2025/,07-May-25,"Presidential Actions, Proclamations"
Nominations Sent to the Senate,https://www.whitehouse.gov/presidential-actions/2025/05/nominations-sent-to-the-senate-8b5f/,06-May-25,"Presidential Actions, Nominations & Appointments"
Regulatory Relief to Promote Domestic Production of Critical Medicines,https://www.whitehouse.gov/presidential-actions/2025/05/regulatory-relief-to-promote-domestic-production-of-critical-medicines/,05-May-25,"Presidential Actions, Executive Orders"
Improving the Safety and Security of Biological Research,https://www.whitehouse.gov/presidential-actions/2025/05/improving-the-safety-and-security-of-biological-research/,05-May-25,"Presidential Actions, Executive Orders"
"National Small Business Week, 2025",https://www.whitehouse.gov/presidential-actions/2025/05/national-small-business-week-2025/,05-May-25,"Presidential Actions, Proclamations"
"National Hurricane Preparedness Week, 2025",https://www.whitehouse.gov/presidential-actions/2025/05/national-hurricane-preparedness-week-2025/,05-May-25,"Presidential Actions, Proclamations"
"National Mental Health Awareness Month, 2025",https://www.whitehouse.gov/presidential-actions/2025/05/national-mental-health-awareness-month-2025/,05-May-25,"Presidential Actions, Proclamations"
"Loyalty Day and Law Day, U.S.A., 2025",https://www.whitehouse.gov/presidential-actions/2025/05/loyalty-day-and-law-day-u-s-a-2025/,01-May-25,"Presidential Actions, Proclamations"
"National Day of Prayer, 2025",https://www.whitehouse.gov/presidential-actions/2025/05/national-day-of-prayer-2025/,01-May-25,"Presidential Actions, Proclamations"
"National Fallen Firefighters Memorial Weekend, 2025",https://www.whitehouse.gov/presidential-actions/2025/05/national-fallen-firefighters-memorial-weekend-2025/,01-May-25,"Presidential Actions, Proclamations"
Ending Taxpayer Subsidization Of Biased Media,https://www.whitehouse.gov/presidential-actions/2025/05/ending-taxpayer-subsidization-of-biased-media/,01-May-25,"Presidential Actions, Executive Orders"
